"Enduse Code","EU Description"
"M42","Consumer durables & Nondurables - UNMFD"
"M420","Consumer Nondurables-unmanufactured"
"M42000","Nursery stocks, cut flowers, Christmas trees"
"M421","Consumer Durables-unmanufactured"
"M42100","Gem diamonds-uncut or unset"
"M42110","Oth gem stones-precious, semiprecious and imitatio"
"M5","Imports, n.e.s."
"M50","Imports, n.e.s."
"M500","Imports, n.e.s."
"M50000","Military aircraft & parts"
"M50010","Oth military equip"
"M50020","U.S. goods returned, & reimports"
"M50030","Minimum value shipments"
"M50040","Oth (movies, misc imports & special transactions)"
"MC","Automotive veh, parts & engines"
"MC0","Automotive veh, parts & engines"
"MC00","Passenger cars, new & used"
"MC0000","Complete & assembled-new & used"
"MC01","Trucks, buses & spec-purpose veh"
"MC0100","Complete & assembled"
"MC0110","Bodies & chassis for trucks & buses"
"MC02","Parts, engines, bodies & chassis"
"MC0200","Engines & engine parts"
"MC0210","Bodies & chassis for passenger cars"
"MC0220","Automotive tires & tubes"
"MC0230","Oth parts & accessories"
"MR","Automotive veh, parts & engines"
"MR0","Automotive veh, parts & engines"
"MR00","Passenger cars, new & used"
"MR0000","Complete & assembled-new & used"
"MR01","Trucks, buses & spec-purpose veh"
"MR0100","Complete & assembled"
"MR0110","Bodies & chassis for trucks & buses"
"MR02","Parts, engines, bodies & chassis"
"MR0200","Engines & engine parts"
"MR0210","Bodies & chassis for passenger cars"
"MR0220","Automotive tires & tubes"
"MR0230","Oth parts & accessories"
